episode,endured_step,in_goal_steps,success,goal_rate,avg_return
1,300,0,0,0.0,0.16401065201373818
2,300,0,0,0.0,0.3193393250579105
3,300,0,0,0.0,0.4287022094510457
4,300,0,0,0.0,0.08764128783368791
5,300,0,0,0.0,0.10981841824176004
6,300,0,0,0.0,0.21720295807718348
7,300,0,0,0.0,0.1611586155929716
8,300,0,0,0.0,0.26287065230256523
9,300,0,0,0.0,0.12781316490741904
10,300,0,0,0.0,0.10332349215774753
11,300,0,0,0.0,0.44337274599976256
12,300,0,0,0.0,0.31585286598000056
13,300,0,0,0.0,0.12530964579324078
14,300,0,0,0.0,0.10531411842045077
15,300,0,0,0.0,0.14360093891341077
16,300,0,0,0.0,0.26232057026127925
17,300,0,0,0.0,0.10111251436731208
18,300,0,0,0.0,0.28228199826248274
19,300,0,0,0.0,0.23581149903536258
20,300,0,0,0.0,0.2604594628424187
21,300,0,0,0.0,0.16621042765082633
22,300,0,0,0.0,0.20558695242759942
23,300,0,0,0.0,0.1605550844347252
24,300,0,0,0.0,0.29872050099267433
25,300,0,0,0.0,0.28219991111546944
26,300,0,0,0.0,0.22018953958275772
27,300,0,0,0.0,0.10817716643917535
28,300,0,0,0.0,0.1257042470853744
29,300,0,0,0.0,0.39280491257692
30,300,0,0,0.0,0.3490647394725752
31,300,0,0,0.0,0.12600157148305788
32,300,0,0,0.0,0.37236582922789985
33,300,0,0,0.0,0.26909551430000456
34,300,0,0,0.0,0.3860304996355834
35,300,0,0,0.0,0.22195088108425434
36,300,0,0,0.0,0.40466387773117163
37,300,0,0,0.0,0.14944619609662432
38,300,0,0,0.0,0.2635324903008791
39,300,0,0,0.0,0.2263950088219919
40,300,0,0,0.0,0.15820044476358563
41,300,0,0,0.0,0.0967345044455025
42,300,0,0,0.0,0.17065883682374616
43,300,0,0,0.0,0.20048238497075382
44,300,0,0,0.0,0.417322906599558
45,300,0,0,0.0,0.20151237416505788
46,300,0,0,0.0,0.07620476798020444
47,300,0,0,0.0,0.0945422012105126
48,300,0,0,0.0,0.251024511743508
49,300,0,0,0.0,0.2806461506930149
50,300,0,0,0.0,0.15039230576114254
51,300,0,0,0.0,0.10139410450679821
52,300,0,0,0.0,0.14268268673121798
53,300,94,1,0.31333333333333335,0.8208869312748713
54,300,0,0,0.0,0.4306219934316198
55,300,0,0,0.0,0.15759630739746225
56,300,0,0,0.0,0.1384241871190074
57,300,0,0,0.0,0.15986803620159612
58,300,0,0,0.0,0.36369563365811197
59,300,0,0,0.0,0.2496014856324933
60,300,0,0,0.0,0.2647714951838144
61,300,0,0,0.0,0.24334078575064164
62,300,0,0,0.0,0.1602486014194597
63,300,0,0,0.0,0.19348328479298413
64,300,0,0,0.0,0.08811360975653158
65,300,0,0,0.0,0.5073583865906807
66,300,0,0,0.0,0.09859312201763382
67,300,0,0,0.0,0.3564235404185635
68,300,0,0,0.0,0.17639479604025327
69,300,0,0,0.0,0.26717436638192926
70,300,0,0,0.0,0.36699034570636524
71,300,0,0,0.0,0.3027184834350218
72,300,0,0,0.0,0.09168635967788417
73,300,0,0,0.0,0.2777036128719072
74,300,0,0,0.0,0.09909042118673471
75,300,45,1,0.15,0.6653956127503587
76,300,0,0,0.0,0.1837575982610839
77,300,0,0,0.0,0.20683956926044833
78,300,0,0,0.0,0.3933911633950533
79,300,0,0,0.0,0.15131152756935737
80,300,0,0,0.0,0.15332065753393892
81,300,0,0,0.0,0.34193018242611406
82,300,0,0,0.0,0.08433441260790117
83,300,0,0,0.0,0.40204226678076166
84,300,0,0,0.0,0.13126999167856201
85,300,0,0,0.0,0.5422844244644974
86,300,0,0,0.0,0.24898745513680262
87,300,0,0,0.0,0.2390928949721175
88,300,0,0,0.0,0.5219071043880648
89,300,0,0,0.0,0.36236884322020435
90,300,0,0,0.0,0.3321393884767509
91,300,0,0,0.0,0.30811733570518507
92,300,0,0,0.0,0.3378922822888931
93,300,0,0,0.0,0.08548213621578508
94,300,36,1,0.12,0.5224932123828211
95,300,0,0,0.0,0.39435362690747294
96,300,0,0,0.0,0.24318658614551453
97,300,0,0,0.0,0.20441622033929274
98,300,0,0,0.0,0.09887805248109346
99,300,0,0,0.0,0.2939734079600396
100,300,0,0,0.0,0.25394212586175735
101,300,0,0,0.0,0.15844812435600375
102,300,125,1,0.4166666666666667,0.8618514543820711
103,300,0,0,0.0,0.3702662778459216
104,300,0,0,0.0,0.25548696013446237
105,300,0,0,0.0,0.36164545170949836
106,300,0,0,0.0,0.1368649734516185
107,300,0,0,0.0,0.3070117657119161
108,300,0,0,0.0,0.21466268971953545
109,300,0,0,0.0,0.36807746765849025
110,300,0,0,0.0,0.11387874328508528
111,300,180,1,0.6,0.9995682815825485
112,300,61,1,0.20333333333333334,0.6473600495660679
113,300,115,1,0.38333333333333336,0.8053609463592155
114,300,0,0,0.0,0.2409551244791113
115,300,0,0,0.0,0.16848857343489848
116,300,72,1,0.24,0.680521537911759
117,300,0,0,0.0,0.2345301646981503
118,300,0,0,0.0,0.19129576541442855
119,300,0,0,0.0,0.1167767830253521
120,300,0,0,0.0,0.16962578754845206
121,300,125,1,0.4166666666666667,0.7771839944668948
122,300,0,0,0.0,0.1853049787468777
123,300,0,0,0.0,0.28961340635277644
124,300,0,0,0.0,0.19518794179955093
125,300,0,0,0.0,0.19845822601943572
126,300,195,1,0.65,1.042437884852938
127,300,234,1,0.78,1.1555307840504863
128,300,0,0,0.0,0.1644197630632874
129,300,155,1,0.5166666666666667,0.8984661700233894
130,300,177,1,0.59,0.9908078387314968
131,300,0,0,0.0,0.328597569562805
132,300,202,1,0.6733333333333333,1.0252635613632464
133,300,0,0,0.0,0.1157577372881624
134,300,0,0,0.0,0.1624081681285131
135,300,15,1,0.05,0.3223701178648485
136,300,203,1,0.6766666666666666,1.040193911234635
137,300,7,1,0.023333333333333334,0.38822023359657987
138,300,82,1,0.2733333333333333,0.7126368117291051
139,300,92,1,0.30666666666666664,0.6993832096508006
140,300,0,0,0.0,0.3598564611903222
141,300,0,0,0.0,0.21029013316444767
142,300,261,1,0.87,1.237829178060577
143,300,82,1,0.2733333333333333,0.6812437864825854
144,300,35,1,0.11666666666666667,0.4087308552532038
145,300,60,1,0.2,0.5513785385806219
146,300,0,0,0.0,0.24585870088150685
147,300,0,0,0.0,0.10140350714412706
148,300,0,0,0.0,0.39696888931597374
149,300,172,1,0.5733333333333334,0.9234211331842349
150,300,259,1,0.8633333333333333,1.2686172191672465
151,300,133,1,0.44333333333333336,0.7976011102724024
152,300,154,1,0.5133333333333333,0.9427014908589548
153,300,0,0,0.0,0.202604846321933
154,300,13,1,0.043333333333333335,0.4686685936628161
155,300,185,1,0.6166666666666667,1.010842255330829
156,300,206,1,0.6866666666666666,1.0636405315504482
157,300,222,1,0.74,1.1064766954362066
158,300,0,0,0.0,0.2818329603171239
159,300,130,1,0.43333333333333335,0.7230018265968332
160,300,135,1,0.45,0.8486319806688889
161,300,46,1,0.15333333333333332,0.5897540551561664
162,300,96,1,0.32,0.8112872697477245
163,300,0,0,0.0,0.37233232465144267
164,300,210,1,0.7,1.1440279988124544
165,300,111,1,0.37,0.7089495548553305
