episode,endured_step,in_goal_steps,success,goal_rate,avg_return
1,300,0,0,0.0,0.39423715281243576
2,300,130,1,0.43333333333333335,0.8582516217251469
3,300,182,1,0.6066666666666667,1.0409554006186552
4,300,0,0,0.0,0.2085579223826085
5,300,0,0,0.0,0.2536291537254874
6,300,0,0,0.0,0.3843126760025101
7,300,0,0,0.0,0.33898251491693093
8,300,135,1,0.45,0.8768345046179896
9,300,0,0,0.0,0.23797905036378822
10,300,0,0,0.0,0.20098911026339755
11,300,200,1,0.6666666666666666,1.0927496739514386
12,300,188,1,0.6266666666666667,1.043786305399111
13,300,0,0,0.0,0.16873588722929986
14,300,0,0,0.0,0.22409730630148766
15,300,23,1,0.07666666666666666,0.4264171499213222
16,300,61,1,0.20333333333333334,0.5562642219110367
17,300,0,0,0.0,0.18014635948063085
18,300,91,1,0.30333333333333334,0.7146647321016225
19,300,63,1,0.21,0.6261887993806399
20,300,120,1,0.4,0.791468345710425
21,300,0,0,0.0,0.2143948806153668
22,300,31,1,0.10333333333333333,0.4856490738085124
23,300,0,0,0.0,0.2815689052922281
24,300,35,1,0.11666666666666667,0.5243351132189176
25,300,173,1,0.5766666666666667,0.9827347419493011
26,300,6,1,0.02,0.40874369180526154
27,300,0,0,0.0,0.2862370261547154
28,300,0,0,0.0,0.21208847353855456
29,300,222,1,0.74,1.1656128090695348
30,300,135,1,0.45,0.855538609079166
31,300,0,0,0.0,0.0692456533874487
32,300,204,1,0.68,1.0765044440576994
33,300,111,1,0.37,0.7540360437437832
34,300,236,1,0.7866666666666666,1.2202640745877773
35,300,108,1,0.36,0.7574439585933854
36,300,166,1,0.5533333333333333,0.9834996184282342
37,300,0,0,0.0,0.31269832604486514
38,300,47,1,0.15666666666666668,0.5715357253774872
39,300,134,1,0.44666666666666666,0.815984637190074
40,300,5,1,0.016666666666666666,0.36113762544481814
41,300,0,0,0.0,0.2264949240739197
42,300,0,0,0.0,0.21903160861130894
43,300,0,0,0.0,0.3206831426273327
44,300,163,1,0.5433333333333333,0.9611645142710269
45,300,22,1,0.07333333333333333,0.4253560086031287
46,250,0,0,0.0,0.04327505347003515
47,300,46,1,0.15333333333333332,0.44661885447765476
48,300,72,1,0.24,0.6575999715748893
49,300,129,1,0.43,0.838059740484228
50,300,0,0,0.0,0.3219686153335923
51,300,0,0,0.0,0.14722967224334826
52,300,0,0,0.0,0.3572262388464548
53,300,259,1,0.8633333333333333,1.2820852380717163
54,300,185,1,0.6166666666666667,1.0479845081044052
55,300,4,1,0.013333333333333334,0.35995845558447453
56,300,0,0,0.0,0.13462674909651168
57,300,42,1,0.14,0.460850889998994
58,300,138,1,0.46,0.8995818784816244
59,300,64,1,0.21333333333333335,0.5588149739730778
60,300,75,1,0.25,0.6732158914488543
61,300,117,1,0.39,0.7980470382787263
62,300,62,1,0.20666666666666667,0.5343891304866158
63,300,46,1,0.15333333333333332,0.4911187110369081
64,300,0,0,0.0,0.2669413403617735
65,300,177,1,0.59,1.0267058144507188
66,300,0,0,0.0,0.19209241184862708
67,300,42,1,0.14,0.5431064963759639
68,300,117,1,0.39,0.7903650931638008
69,300,86,1,0.2866666666666667,0.6413185268758768
70,300,121,1,0.4033333333333333,0.8370187607874006
71,300,122,1,0.4066666666666667,0.8398022070693559
72,300,0,0,0.0,0.10100794173489837
73,300,142,1,0.47333333333333333,0.8691896087314228
74,300,0,0,0.0,0.2845772607356479
75,300,237,1,0.79,1.2078028032474737
76,300,0,0,0.0,0.0697037176797627
77,300,53,1,0.17666666666666667,0.5086562052855773
78,300,102,1,0.34,0.7522757693001306
79,300,0,0,0.0,0.06876189809152375
80,300,0,0,0.0,0.15240326950997798
81,300,111,1,0.37,0.7854427863733646
82,300,2,1,0.006666666666666667,0.29149455068688646
83,300,174,1,0.58,0.9866815387308202
84,300,25,1,0.08333333333333333,0.36661067229597183
85,300,202,1,0.6733333333333333,1.1130593168072875
86,300,96,1,0.32,0.6760850235342881
87,300,199,1,0.6633333333333333,1.0075782191519769
88,300,151,1,0.5033333333333333,0.9955805726559452
89,300,129,1,0.43,0.7872348168615735
90,300,103,1,0.3433333333333333,0.7818273556951644
91,300,157,1,0.5233333333333333,0.910811862193246
92,300,95,1,0.31666666666666665,0.6824774609227734
93,300,0,0,0.0,0.2778629980577388
94,300,194,1,0.6466666666666666,1.0664296799871313
95,300,99,1,0.33,0.6786183480639923
96,300,43,1,0.14333333333333334,0.48897315803011804
97,300,136,1,0.4533333333333333,0.7976387525380529
98,300,0,0,0.0,0.23824945116097818
99,300,104,1,0.3466666666666667,0.6931956573072398
100,300,41,1,0.13666666666666666,0.4489629817810199
101,300,0,0,0.0,0.30033386735021295
102,300,234,1,0.78,1.1915632443484425
103,300,160,1,0.5333333333333333,0.9318552720285889
104,300,64,1,0.21333333333333335,0.521546390310524
105,223,0,0,0.0,0.05881495989200514
106,175,0,0,0.0,0.040396241884355186
107,300,75,1,0.25,0.5539769975886915
108,300,84,1,0.28,0.6180255900922402
109,300,163,1,0.5433333333333333,0.9067755657876793
110,300,47,1,0.15666666666666668,0.42696103060346713
111,300,241,1,0.8033333333333333,1.2272667729154376
112,300,228,1,0.76,1.1774639052008462
113,300,200,1,0.6666666666666666,1.0903196952397227
114,300,0,0,0.0,0.31749812704242714
115,300,50,1,0.16666666666666666,0.4929425823857664
116,300,206,1,0.6866666666666666,1.0745686211000967
117,300,38,1,0.12666666666666668,0.4146969193883239
118,185,0,0,0.0,0.03454336360424865
119,300,0,0,0.0,0.269828005198624
120,300,0,0,0.0,0.0951929933230108
