episode,endured_step,in_goal_steps,success,goal_rate,avg_return
1,300,21,1,0.07,0.45543778747294006
2,300,159,1,0.53,0.9646632438058949
3,300,215,1,0.7166666666666667,1.1229569367182086
4,300,0,0,0.0,0.2114119134470918
5,300,0,0,0.0,0.26954201313942466
6,300,0,0,0.0,0.29626577218281
7,300,0,0,0.0,0.3431706648307661
8,300,139,1,0.4633333333333333,0.8943465987720418
9,300,0,0,0.0,0.21335885628681164
10,300,0,0,0.0,0.2853386829714839
11,300,154,1,0.5133333333333333,0.9628308560618475
12,300,152,1,0.5066666666666667,0.9176038058325876
13,300,0,0,0.0,0.18860704072050902
14,300,0,0,0.0,0.26473065445272354
15,300,0,0,0.0,0.3475527497256338
16,300,47,1,0.15666666666666668,0.5510208309542933
17,300,0,0,0.0,0.3435495403897023
18,300,69,1,0.23,0.6265441033433579
19,300,40,1,0.13333333333333333,0.5516918956206086
20,300,121,1,0.4033333333333333,0.8203721325220785
21,300,0,0,0.0,0.2898486283098561
22,300,119,1,0.39666666666666667,0.8057928108525741
23,300,0,0,0.0,0.33288706834881976
24,300,92,1,0.30666666666666664,0.742086759125211
25,300,207,1,0.69,1.1248540623246615
26,300,4,1,0.013333333333333334,0.4464896642719238
27,300,3,1,0.01,0.3733284306542212
28,300,0,0,0.0,0.3091269519312123
29,300,188,1,0.6266666666666667,1.0733947493375111
30,300,199,1,0.6633333333333333,1.0580542311214318
31,300,0,0,0.0,0.20926867128880444
32,300,177,1,0.59,1.000333450731142
33,300,119,1,0.39666666666666667,0.7812932078427538
34,300,266,1,0.8866666666666667,1.2530980680293369
35,300,90,1,0.3,0.7469682730982121
36,300,220,1,0.7333333333333333,1.1504825863513297
37,300,116,1,0.38666666666666666,0.7031093593251615
38,300,115,1,0.38333333333333336,0.7813197142893621
39,300,115,1,0.38333333333333336,0.7751528592719238
40,300,42,1,0.14,0.4859244627982459
41,300,0,0,0.0,0.293616809592191
42,300,7,1,0.023333333333333334,0.3492646121584338
43,300,83,1,0.27666666666666667,0.6363582482529598
44,300,177,1,0.59,1.0175327478428426
45,300,104,1,0.3466666666666667,0.7018164201927529
46,300,0,0,0.0,0.2617908445611461
47,300,36,1,0.12,0.4366428199427488
48,300,136,1,0.4533333333333333,0.8741871506223311
49,300,133,1,0.44333333333333336,0.8668069092178348
50,300,19,1,0.06333333333333334,0.3726666529861314
51,300,0,0,0.0,0.20415498082752095
52,300,51,1,0.17,0.5306864525117109
53,300,249,1,0.83,1.251776671691987
54,300,165,1,0.55,0.9701425409020542
55,300,51,1,0.17,0.5025427450844692
56,300,25,1,0.08333333333333333,0.4056687390793658
57,300,32,1,0.10666666666666667,0.45216271220243165
58,300,176,1,0.5866666666666667,0.974553575911751
59,300,43,1,0.14333333333333334,0.5264923072175942
60,300,116,1,0.38666666666666666,0.8031362764702086
61,300,159,1,0.53,0.9063489481503972
62,300,63,1,0.21,0.5493730895333697
63,300,68,1,0.22666666666666666,0.5926474383710736
64,300,14,1,0.04666666666666667,0.34433765528519517
65,300,221,1,0.7366666666666667,1.1391218935029095
66,300,34,1,0.11333333333333333,0.38599882261242807
67,300,109,1,0.36333333333333334,0.7794984239390107
68,300,111,1,0.37,0.7867757733334846
69,300,117,1,0.39,0.7571808031157556
70,300,184,1,0.6133333333333333,0.9876175235326207
71,300,129,1,0.43,0.8517776981524762
72,300,21,1,0.07,0.404605982256168
73,300,66,1,0.22,0.5953757795865291
74,300,0,0,0.0,0.2588337418982118
75,300,203,1,0.6766666666666666,1.1300953628864527
76,300,48,1,0.16,0.4540277812758155
77,300,148,1,0.49333333333333335,0.8363592527587759
78,300,164,1,0.5466666666666666,0.9478747752039389
79,300,0,0,0.0,0.17167530047291507
80,300,82,1,0.2733333333333333,0.568049117817431
81,300,139,1,0.4633333333333333,0.8455773041708681
82,300,22,1,0.07333333333333333,0.3969328054279048
83,300,143,1,0.4766666666666667,0.9072972194935646
84,300,75,1,0.25,0.5716123701943027
85,300,222,1,0.74,1.1646272418644215
86,300,94,1,0.31333333333333335,0.7158953717708677
87,300,125,1,0.4166666666666667,0.799972469830578
88,300,152,1,0.5066666666666667,0.9096019170214918
89,300,26,1,0.08666666666666667,0.4654351605698238
90,300,121,1,0.4033333333333333,0.788313950875173
91,300,171,1,0.57,0.9621143124388463
92,300,120,1,0.4,0.768061971943601
93,300,63,1,0.21,0.526352529257968
94,300,153,1,0.51,0.8960114989176693
95,300,127,1,0.42333333333333334,0.789927279723107
96,300,51,1,0.17,0.5074207144804874
97,300,102,1,0.34,0.668796025264694
98,300,13,1,0.043333333333333335,0.34897491057951263
99,300,105,1,0.35,0.6929942113978222
100,300,78,1,0.26,0.5919090899751754
101,300,13,1,0.043333333333333335,0.3451054377552149
102,300,176,1,0.5866666666666667,1.0133517173601654
103,300,90,1,0.3,0.6883078996866837
104,300,23,1,0.07666666666666666,0.37445067597627696
105,300,87,1,0.29,0.6257816041015023
106,300,21,1,0.07,0.3661172461324583
107,300,73,1,0.24333333333333335,0.5734592600673954
108,300,62,1,0.20666666666666667,0.5420400753942188
109,300,100,1,0.3333333333333333,0.6871575103106172
110,300,28,1,0.09333333333333334,0.40213424997332653
111,300,211,1,0.7033333333333334,1.0997857736224648
112,300,199,1,0.6633333333333333,1.0855750857277733
113,300,201,1,0.67,1.0875679839281267
114,300,126,1,0.42,0.7644483566854129
115,300,81,1,0.27,0.587841262803019
116,300,190,1,0.6333333333333333,1.0397982503844692
117,300,107,1,0.3566666666666667,0.6852858685495068
118,300,55,1,0.18333333333333332,0.4978130796994506
119,300,0,0,0.0,0.10500357286501497
120,300,66,1,0.22,0.5598777717651273
121,300,90,1,0.3,0.7198380493007388
122,300,89,1,0.2966666666666667,0.6236182140518635
123,300,137,1,0.45666666666666667,0.8128983193262499
124,300,142,1,0.47333333333333333,0.8061056119267814
125,300,82,1,0.2733333333333333,0.574842342727696
126,300,241,1,0.8033333333333333,1.2000636048512487
127,300,236,1,0.7866666666666666,1.2034952909503327
128,300,67,1,0.22333333333333333,0.5359067055015897
129,300,163,1,0.5433333333333333,0.9403023055914969
130,300,156,1,0.52,0.8938968631635853
131,300,57,1,0.19,0.4941158188712965
132,300,197,1,0.6566666666666666,1.0503287498340763
133,300,0,0,0.0,0.22044030995111435
134,300,54,1,0.18,0.45341355232152397
135,300,141,1,0.47,0.8607725973639422
136,300,163,1,0.5433333333333333,0.9818672258376716
137,300,100,1,0.3333333333333333,0.6283311862050147
138,300,182,1,0.6066666666666667,0.9557316876079922
139,300,203,1,0.6766666666666666,1.0496544701350556
140,300,152,1,0.5066666666666667,0.8493492078001786
141,300,100,1,0.3333333333333333,0.6552283663626606
142,300,264,1,0.88,1.300611350214345
143,300,180,1,0.6,0.9622816187774886
144,300,121,1,0.4033333333333333,0.7506916424619745
145,300,101,1,0.33666666666666667,0.6770592041319273
146,300,7,1,0.023333333333333334,0.35134059205828233
147,300,47,1,0.15666666666666668,0.44078362798567755
148,300,155,1,0.5166666666666667,0.8759431979050629
149,300,189,1,0.63,1.052420323794534
150,300,250,1,0.8333333333333334,1.2225541735519851
151,300,175,1,0.5833333333333334,0.9636465287431637
152,300,233,1,0.7766666666666666,1.1830395745839293
153,300,56,1,0.18666666666666668,0.48451362269666853
