episode,endured_step,episode_return,in_goal_steps,success,epsilon,td_loss
1,271,48.803542763573674,0,0,0.996781875,0.0
2,180,69.59391932703394,24,1,0.994644375,0.0
3,180,66.91062888895496,27,1,0.992506875,0.0
4,217,38.91220335755607,0,0,0.98993,0.0
5,104,2.1453395813881206,0,0,0.988695,0.0
6,113,0.5102463076203714,0,0,0.987353125,0.0
7,85,1.0966289373226008,0,0,0.98634375,0.0
8,205,41.859082323184545,0,0,0.983909375,0.0
9,264,29.116979786908132,0,0,0.980774375,0.0
10,249,84.76458729866555,30,1,0.9778175,0.0
11,93,9.729428409181871,0,0,0.976713125,0.0
12,300,57.48002357194747,0,0,0.973150625,0.0
13,55,-2.4299390459850017,0,0,0.9724975,0.0
14,230,12.756386763553403,0,0,0.96976625,0.0
15,189,38.98709245700712,0,0,0.967521875,0.0
16,136,13.099190433598938,0,0,0.9659068749999999,0.0
17,236,75.9609335980249,22,1,0.963104375,0.0
18,124,16.215074000922368,0,0,0.961631875,0.0
19,181,35.3523576347303,0,0,0.9594825,0.0
20,207,26.97953590784068,0,0,0.957024375,0.0
21,78,-2.080732329386334,0,0,0.956098125,0.0
22,300,60.52431320103975,0,0,0.952535625,0.0
23,268,32.11174059426191,0,0,0.949353125,0.0
24,97,5.29727655496156,0,0,0.94820125,0.0
25,213,28.09409042244925,0,0,0.945671875,0.0
26,136,7.9511601304874,0,0,0.944056875,0.0
27,300,61.51460089383217,0,0,0.940494375,0.07037180755287409
28,91,-2.1804662989170343,0,0,0.93941375,0.028363640699023893
29,122,12.816619262762647,0,0,0.937965,0.03003045368832765
30,208,20.688274170372143,0,0,0.935495,0.025587032957656238
31,101,2.8584045036588943,0,0,0.934295625,0.028351226080402657
32,97,11.046713731940903,0,0,0.93314375,0.02527734245408864
33,237,42.54882074237918,0,0,0.930329375,0.02851236012335945
34,142,38.18192374843446,0,0,0.928643125,0.027707395728752936
35,207,37.00352118275194,0,0,0.926185,0.02694700637737802
36,163,65.96063983552563,26,1,0.924249375,0.02755829169517783
37,300,64.38852641170455,0,0,0.920686875,0.023046934990852606
38,200,47.05378381304914,0,0,0.918311875,0.02485342426924035
39,156,19.798068222224927,0,0,0.916459375,0.022880767780103877
40,58,-0.2531022024221823,0,0,0.915770625,0.023508231388404965
41,300,102.73811630071896,18,1,0.912208125,0.026499803402305892
42,206,38.01730189299491,0,0,0.909761875,0.025487974166273346
43,64,-0.6149910137558727,0,0,0.909001875,0.025863222928819596
44,300,62.94159113675888,0,0,0.905439375,0.02163012640317902
45,240,20.610948605173114,0,0,0.902589375,0.02337279367687491
46,83,-0.8593413374675274,0,0,0.90160375,0.0245942224857835
47,128,4.000705445567045,0,0,0.90008375,0.023252812199643813
48,124,8.775950377387677,0,0,0.89861125,0.023293095732843803
49,267,48.17084966229134,0,0,0.895440625,0.025257989053513282
50,169,8.905670870691086,0,0,0.89343375,0.021178675872637456
51,61,-2.6889475989032774,0,0,0.892709375,0.030232942848252592
52,72,-0.20229938074045872,0,0,0.891854375,0.02546296682299322
53,251,57.27062012025167,17,1,0.88887375,0.02706953573766057
54,217,36.12945702783343,0,0,0.886296875,0.027824653779298134
55,75,0.1743648081470317,0,0,0.88540625,0.029158227195342383
56,46,-1.8743752377204812,0,0,0.88486,0.02575034077744931
57,178,40.069746265834965,0,0,0.88274625,0.03142672739635232
58,145,27.900950474027802,0,0,0.881024375,0.030762063177976886
59,112,8.9769607503968,0,0,0.879694375,0.03346245815295593
60,160,9.03347452527512,0,0,0.877794375,0.03030398264818359
61,78,3.584509984388929,0,0,0.876868125,0.03478460435051089
62,146,2.1978583686117963,0,0,0.875134375,0.032439190315478164
63,138,4.559395861350339,0,0,0.873495625,0.029507204848071695
64,228,58.055910111783554,0,0,0.870788125,0.03053648342080251
65,148,16.20095259320503,0,0,0.869030625,0.03108367251666464
66,203,11.208953361305769,0,0,0.86662,0.03604208273936999
67,202,47.37348618360812,0,0,0.8642212499999999,0.032582077759059865
68,76,2.4590909515662647,0,0,0.86331875,0.0327823489818624
69,211,51.273740867320015,0,0,0.860813125,0.0319526983696473
70,143,29.069380146638963,0,0,0.8591150000000001,0.03313011602967508
71,125,12.555529010472885,0,0,0.857630625,0.03251193181052804
72,77,-0.0005564250923013603,0,0,0.8567162500000001,0.03715880237543931
73,66,0.9915607954533465,0,0,0.8559325,0.033852555034117715
74,146,3.085924159179526,0,0,0.85419875,0.036574113434690934
75,196,75.26300898848265,30,1,0.85187125,0.035573720423580736
76,132,6.27572609588764,0,0,0.85030375,0.036755941321396014
77,239,54.22757617937057,0,0,0.847465625,0.03840353560856072
78,284,63.89589098178611,0,0,0.844093125,0.03964542984572226
79,46,-2.6413789518142456,0,0,0.843546875,0.04659039358122517
80,46,-1.635329832713881,0,0,0.843000625,0.036873657701779965
81,166,18.55178674493179,0,0,0.841029375,0.04507531976630261
82,122,8.074892901554243,0,0,0.839580625,0.04110975278785727
83,191,60.65719323277368,0,0,0.8373125,0.040994904189326685
84,113,0.21260110255419917,0,0,0.8359706250000001,0.04433047099747753
85,300,84.83550895238709,0,0,0.8324081249999999,0.041332233709593616
86,149,23.526745609778384,0,0,0.83063875,0.04405319623824134
87,233,36.22630415939943,0,0,0.827871875,0.046062277542035464
88,88,7.106588547798676,0,0,0.8268268750000001,0.04682714714859189
89,196,15.525499996453474,0,0,0.824499375,0.04430662892872886
90,109,9.197551437968302,0,0,0.823205,0.04468564046632259
91,105,8.322983693681262,0,0,0.821958125,0.04435927476733923
92,206,21.198261564523325,0,0,0.819511875,0.04936538684154743
93,32,-3.404047153172942,0,0,0.8191318750000001,0.0481658746721223
94,87,6.241397361395371,0,0,0.81809875,0.04690511184262818
95,163,5.983164286826943,0,0,0.816163125,0.04622972665777419
96,119,1.913742478704716,0,0,0.81475,0.04741744023254689
97,56,-0.6827886231243783,0,0,0.814085,0.045445124610393704
98,78,-0.24223510694189354,0,0,0.81315875,0.04590861698708091
99,86,2.67534273916751,0,0,0.8121375,0.0447752816970785
100,198,7.037253446011807,0,0,0.80978625,0.04789968365050777
101,157,15.46046306358077,0,0,0.807921875,0.04926889984138832
102,148,24.947684922767515,0,0,0.806164375,0.04766402297300865
103,156,9.229216556065232,0,0,0.804311875,0.05251323831124374
104,276,74.07738059477072,0,0,0.801034375,0.04983642272165288
105,135,3.5148514471736165,0,0,0.79943125,0.050262503650177405
106,47,-3.0473405709117083,0,0,0.7988731250000001,0.045832680419404456
107,53,-0.9582686620715606,0,0,0.79824375,0.048086133311098476
108,206,24.19918931605801,0,0,0.7957975,0.05731361060972932
